model-1593983743,1593983743.836,0.0,3.7615,0.04,3.7612
model-1593983743,1593983743.967,0.04,3.7611,0.04,3.7607
model-1593983743,1593983744.101,0.06,3.7606,0.0,3.7597
model-1593983743,1593983744.234,0.06,3.7586,0.12,3.7497
model-1593983743,1593983744.366,0.1,3.7485,0.14,3.7221
model-1593983743,1593983744.5,0.06,3.7389,0.06,3.7362
model-1593983743,1593983744.633,0.04,3.7501,0.02,3.7733
model-1593983743,1593983744.768,0.06,3.7362,0.02,3.7785
model-1593983743,1593983744.904,0.06,3.7364,0.02,3.779
model-1593983743,1593983745.039,0.12,3.6797,0.04,3.7585
model-1593983743,1593983745.173,0.06,3.7381,0.0,3.7974
model-1593983743,1593983745.305,0.04,3.7592,0.06,3.7339
model-1593983743,1593983745.442,0.02,3.7777,0.04,3.7483
model-1593983743,1593983745.575,0.02,3.7645,0.02,3.7578
model-1593983743,1593983745.711,0.1,3.6856,0.06,3.7274
model-1593983743,1593983745.846,0.1,3.6863,0.08,3.71
model-1593983743,1593983745.983,0.04,3.7571,0.1,3.7065
model-1593983743,1593983746.115,0.08,3.7063,0.02,3.7716
model-1593983743,1593983746.249,0.08,3.7115,0.1,3.6976
model-1593983743,1593983746.383,0.04,3.7488,0.02,3.7694
model-1593983743,1593983746.516,0.0,3.7645,0.08,3.7307
model-1593983743,1593983746.652,0.12,3.6863,0.04,3.7615
model-1593983743,1593983746.788,0.12,3.6789,0.06,3.7348
model-1593983743,1593983746.92,0.04,3.7442,0.04,3.743
model-1593983743,1593983747.054,0.02,3.7588,0.1,3.6997
model-1593983743,1593983747.189,0.06,3.7153,0.08,3.6982
model-1593983743,1593983747.32,0.04,3.7391,0.04,3.7444
model-1593983743,1593983747.452,0.02,3.7527,0.08,3.7405
model-1593983743,1593983747.585,0.02,3.7415,0.04,3.7459
model-1593983743,1593983747.719,0.08,3.7162,0.06,3.7453
model-1593983743,1593983747.852,0.06,3.7456,0.08,3.7333
model-1593983743,1593983747.985,0.04,3.7633,0.14,3.7074
model-1593983743,1593983748.119,0.1,3.7384,0.08,3.7224
model-1593983743,1593983748.253,0.14,3.7126,0.08,3.7132
model-1593983743,1593983748.387,0.12,3.672,0.0,3.7812
model-1593983743,1593983748.524,0.02,3.7588,0.06,3.734
model-1593983743,1593983748.657,0.02,3.7785,0.06,3.7313
model-1593983743,1593983748.79,0.04,3.7486,0.06,3.732
model-1593983743,1593983748.925,0.02,3.7705,0.04,3.7423
model-1593983743,1593983749.06,0.1,3.6837,0.04,3.7503
model-1593983743,1593983749.197,0.06,3.7333,0.0,3.7806
model-1593983743,1593983749.334,0.08,3.7082,0.06,3.7313
model-1593983743,1593983749.469,0.06,3.755,0.12,3.6814
model-1593983743,1593983749.605,0.04,3.7545,0.04,3.7488
model-1593983743,1593983749.74,0.08,3.7441,0.1,3.7026
model-1593983743,1593983749.877,0.0,3.7631,0.08,3.7068
model-1593983743,1593983750.011,0.04,3.744,0.06,3.7431
model-1593983743,1593983750.146,0.04,3.7556,0.02,3.7635
model-1593983743,1593983750.28,0.12,3.7193,0.16,3.6606
model-1593983743,1593983750.415,0.16,3.6517,0.06,3.7411
model-1593983743,1593983750.551,0.04,3.7501,0.06,3.725
model-1593983743,1593983750.686,0.14,3.6886,0.02,3.764
model-1593983743,1593983750.821,0.14,3.6755,0.04,3.7452
